"","X","Z","Y","block"
"965",965,TRUE,0,33
"966",966,TRUE,1,33
"967",967,TRUE,0,33
"968",968,FALSE,0,33
"969",969,TRUE,0,33
"970",970,FALSE,0,33
"971",971,TRUE,0,33
"972",972,TRUE,1,33
"973",973,FALSE,1,33
"974",974,TRUE,1,33
"975",975,FALSE,1,33
"976",976,TRUE,0,33
"977",977,FALSE,1,33
"978",978,FALSE,0,33
"979",979,TRUE,0,33
"980",980,FALSE,0,33
"981",981,TRUE,1,33
"982",982,FALSE,0,33
"983",983,FALSE,0,33
"984",984,FALSE,0,33
"985",985,TRUE,0,33
"986",986,FALSE,0,33
"987",987,FALSE,0,33
"988",988,FALSE,0,33
"989",989,TRUE,0,33
"990",990,TRUE,0,33
